127.0.0.1 - - [30/Oct/2020:18:13:20 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:13:24 +0530] "GET /myapp/Ex20.html HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:13:47 +0530] "GET /myapp/Ex20.html HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:13:48 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:14:13 +0530] "GET /myapp/Ex20.html HTTP/1.1" 200 2930
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:14:24 +0530] "GET /myapp/Ex20.html HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:16:04 +0530] "GET /myapp/Ex21.html HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:16:04 +0530] "GET /myapp/style.css HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:16:24 +0530] "GET /myapp/Ex21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:16:24 +0530] "GET /myapp/style.css HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:16:27 +0530] "GET /myapp/Ex21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:16:27 +0530] "GET /myapp/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:16:44 +0530] "GET /myapp/Ex21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:16:44 +0530] "GET /myapp/style.css HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:16:46 +0530] "GET /myapp/Ex21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2020:18:16:46 +0530] "GET /myapp/style.css HTTP/1.1" 304 -
